# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1) + 18.692 us   |              }
 1)               |              walk_component() {
 1)               |                lookup_fast() {
 1)   0.121 us    |                  __d_lookup_rcu();
 1)   6.335 us    |                }
 1) + 12.558 us   |              }
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.047 us    |                  generic_permission();
 1)   0.044 us    |                  security_inode_permission();
 1) + 12.586 us   |                }
 1) + 18.843 us   |              }
 1) ! 162.800 us  |            }
 1)               |            walk_component() {
 1)               |              lookup_fast() {
 1)   0.405 us    |                __d_lookup_rcu();
 1)   6.670 us    |              }
 1) + 12.902 us   |            }
 1)   0.056 us    |            terminate_walk();
 1) ! 212.989 us  |          }
 1)   0.043 us    |          restore_nameidata();
 1)               |          putname() {
 1)   0.058 us    |            kmem_cache_free();
 1)   6.329 us    |          }
 1) ! 238.077 us  |        }
 1) ! 275.481 us  |      }
 1) ! 281.718 us  |    }
 1) ! 287.900 us  |  }
 1)               |  SyS_newstat() {
 1)               |    vfs_fstatat() {
 1)               |      user_path_at_empty() {
 1)               |        getname_flags() {
 1)               |          kmem_cache_alloc() {
 1)   0.044 us    |            _cond_resched();
 1)   0.046 us    |            __memcg_kmem_get_cache();
 1)   0.047 us    |            __memcg_kmem_put_cache();
 1) + 18.709 us   |          }
 1) + 24.978 us   |        }
 1)               |        filename_lookup() {
 1)               |          path_lookupat() {
 1)               |            path_init() {
 1)   0.057 us    |              set_root();
 1)   0.045 us    |              nd_jump_root();
 1) + 12.499 us   |            }
 1)               |            link_path_walk() {
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.049 us    |                  generic_permission();
 1)   0.048 us    |                  security_inode_permission();
 1) + 12.519 us   |                }
 1) + 18.738 us   |              }
 1)               |              walk_component() {
 1)               |                lookup_fast() {
 1)   0.066 us    |                  __d_lookup_rcu();
 1)   0.048 us    |                  __lookup_mnt();
 1) + 12.547 us   |                }
 1) + 18.792 us   |              }
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.050 us    |                  generic_permission();
 1)   0.045 us    |                  security_inode_permission();
 1) + 12.483 us   |                }
 1) + 18.669 us   |              }
 1)               |              walk_component() {
 1)               |                lookup_fast() {
 1)   0.056 us    |                  __d_lookup_rcu();
 1)   6.256 us    |                }
 1) + 12.463 us   |              }
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.049 us    |                  generic_permission();
 1)   0.047 us    |                  security_inode_permission();
 1) + 12.469 us   |                }
 1) + 18.681 us   |              }
 1)               |              walk_component() {
 1)               |                lookup_fast() {
 1)   0.131 us    |                  __d_lookup_rcu();
 1)   6.371 us    |                }
 1) + 12.594 us   |              }
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.050 us    |                  generic_permission();
 1)   0.044 us    |                  security_inode_permission();
 1) + 12.481 us   |                }
 1) + 18.690 us   |              }
 1) ! 162.133 us  |            }
 1)               |            walk_component() {
 1)               |              lookup_fast() {
 1)   0.243 us    |                __d_lookup_rcu();
 1)   6.475 us    |              }
 1) + 12.714 us   |            }
 1)   0.047 us    |            terminate_walk();
 1) ! 212.098 us  |          }
 1)   0.049 us    |          restore_nameidata();
 1)               |          putname() {
 1)   0.058 us    |            kmem_cache_free();
 1)   6.266 us    |          }
 1) ! 236.980 us  |        }
 1) ! 274.329 us  |      }
 1) ! 280.563 us  |    }
 1) ! 286.774 us  |  }
 1)               |  SyS_newstat() {
 1)               |    vfs_fstatat() {
 1)               |      user_path_at_empty() {
 1)               |        getname_flags() {
 1)               |          kmem_cache_alloc() {
 1)   0.046 us    |            _cond_resched();
 1)   0.044 us    |            __memcg_kmem_get_cache();
 1)   0.044 us    |            __memcg_kmem_put_cache();
 1) + 18.666 us   |          }
 1) + 24.951 us   |        }
 1)               |        filename_lookup() {
 1)               |          path_lookupat() {
 1)               |            path_init() {
 1)   0.049 us    |              set_root();
 1)   0.046 us    |              nd_jump_root();
 1) + 12.508 us   |            }
 1)               |            link_path_walk() {
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.048 us    |                  generic_permission();
 1)   0.051 us    |                  security_inode_permission();
 1) + 12.489 us   |                }
 1) + 18.705 us   |              }
 1)               |              walk_component() {
 1)               |                lookup_fast() {
 1)   0.058 us    |                  __d_lookup_rcu();
 1)   0.059 us    |                  __lookup_mnt();
 1) + 12.616 us   |                }
 1) + 18.863 us   |              }
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.050 us    |                  generic_permission();
 1)   0.049 us    |                  security_inode_permission();
 1) + 12.511 us   |                }
 1) + 18.706 us   |              }
 1)               |              walk_component() {
 1)               |                lookup_fast() {
 1)   0.131 us    |                  __d_lookup_rcu();
 1)   6.349 us    |                }
 1) + 12.551 us   |              }
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.049 us    |                  generic_permission();
 1)   0.046 us    |                  security_inode_permission();
 1) + 12.533 us   |                }
 1) + 18.758 us   |              }
 1) ! 118.684 us  |            }
 1)               |            walk_component() {
 1)               |              lookup_fast() {
 1)   0.355 us    |                __d_lookup_rcu();
 1)   6.653 us    |              }
 1) + 12.996 us   |            }
 1)   0.052 us    |            terminate_walk();
 1) ! 168.967 us  |          }
 1)   0.047 us    |          restore_nameidata();
 1)               |          putname() {
 1)   0.064 us    |            kmem_cache_free();
 1)   6.267 us    |          }
 1) ! 193.830 us  |        }
 1) ! 231.200 us  |      }
 1) ! 237.420 us  |    }
 1) ! 243.637 us  |  }
 1)               |  SyS_newstat() {
 1)               |    vfs_fstatat() {
 1)               |      user_path_at_empty() {
 1)               |        getname_flags() {
 1)               |          kmem_cache_alloc() {
 1)   0.042 us    |            _cond_resched();
 1)   0.047 us    |            __memcg_kmem_get_cache();
 1)   0.044 us    |            __memcg_kmem_put_cache();
 1) + 18.681 us   |          }
 1) + 24.940 us   |        }
 1)               |        filename_lookup() {
 1)               |          path_lookupat() {
 1)               |            path_init() {
 1)   0.046 us    |              set_root();
 1)   0.048 us    |              nd_jump_root();
 1) + 12.510 us   |            }
 1)               |            link_path_walk() {
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.050 us    |                  generic_permission();
 1)   0.048 us    |                  security_inode_permission();
 1) + 12.511 us   |                }
 1) + 18.715 us   |              }
 1)               |              walk_component() {
 1)               |                lookup_fast() {
 1)   0.060 us    |                  __d_lookup_rcu();
 1)   0.046 us    |                  __lookup_mnt();
 1) + 12.523 us   |                }
 1) + 18.771 us   |              }
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.049 us    |                  generic_permission();
 1)   0.051 us    |                  security_inode_permission();
 1) + 12.466 us   |                }
 1) + 18.670 us   |              }
