hostname,time,speed,size,tracing_enabled
L2,0.0353016,29.7,1048576,1
L2,0.0138811,75.5,1048576,1
L2,0.0131442,79.8,1048576,1
L2,0.0130028,80.6,1048576,1
L2,0.0131625,79.7,1048576,1
L2,0.0140783,74.5,1048576,1
L2,0.0124876,84.0,1048576,1
L2,0.0138622,75.6,1048576,1
L2,0.0138463,75.7,1048576,1
L2,0.0134264,78.1,1048576,1
L2,0.0133782,78.4,1048576,1
L2,0.0136803,76.6,1048576,1
L2,0.0144302,72.7,1048576,1
L2,0.0144829,72.4,1048576,1
L2,0.0141525,74.1,1048576,1
L2,0.01513,69.3,1048576,1
L2,0.0141395,74.2,1048576,1
L2,0.0138786,75.6,1048576,1
L2,0.0135944,77.1,1048576,1
L2,0.0379497,27.6,1048576,1
L2,0.0267867,39.1,1048576,1
L2,0.384559,2.7,1048576,1
L3,0.0590305,8.9,524288,0
L3,0.0525413,10.0,524288,0
L3,0.0481212,10.9,524288,0
L3,0.0479822,10.9,524288,0
L3,0.047697,11.0,524288,0
L3,0.0536873,9.8,524288,0
L3,0.0704561,7.4,524288,0
L3,0.0699781,7.5,524288,0
L3,0.049426,10.6,524288,0
L3,0.052236,10.0,524288,0
L3,0.0651534,8.0,524288,0
L3,0.0620772,8.4,524288,0
L3,0.048583,10.8,524288,0
L3,0.0503696,10.4,524288,0
L3,0.0508799,10.3,524288,0
L3,0.0491978,10.7,524288,0
L3,0.0533366,9.8,524288,0
L3,0.0548158,9.6,524288,0
L3,0.0519824,10.1,524288,0
L3,0.0495486,10.6,524288,0
L3,0.0495164,10.6,524288,0
L3,0.050526,10.4,524288,0
L3,0.0627521,8.4,524288,0
L3,0.0717351,7.3,524288,0
L3,0.0479438,10.9,524288,0
L3,0.0471891,11.1,524288,0
L3,0.0514967,10.2,524288,0
L3,0.048554,10.8,524288,0
L3,0.0502464,10.4,524288,0
L3,0.0461945,11.3,524288,0
L3,0.0476064,11.0,524288,0
L3,0.0995682,5.3,524288,1
L3,0.123061,4.3,524288,1
L3,0.0786937,6.7,524288,1
L3,0.0931749,5.6,524288,1
L3,0.0945993,5.5,524288,1
L3,0.100127,5.2,524288,1
L3,0.131923,4.0,524288,1
L3,0.0929552,5.6,524288,1
L3,0.0777604,6.7,524288,1
L3,0.0840281,6.2,524288,1
L3,0.0878079,6.0,524288,1
L3,0.0926957,5.7,524288,1
L3,0.0772627,6.8,524288,1
L3,0.097512,5.4,524288,1
L3,0.0718045,7.3,524288,1
L3,0.0901584,5.8,524288,1
L3,0.0844454,6.2,524288,1
L3,0.115602,4.5,524288,1
L3,0.0812132,6.5,524288,1
L3,0.0872413,6.0,524288,1
L3,0.0796454,6.6,524288,1
L3,0.0954961,5.5,524288,1
L3,0.089299,5.9,524288,1
L3,0.0900286,5.8,524288,1
L3,0.103672,5.1,524288,1
L3,0.0851281,6.2,524288,1
L3,0.0898426,5.8,524288,1
L3,0.123636,4.2,524288,1
L3,0.0816841,6.4,524288,1
L3,0.0886613,5.9,524288,1
