layer,tracing_enabled,type,freq,event
L2,1,trap,135495,kvm_x86_entry
L2,1,trap,135495,kvm_x86_exit
L2,1,exit_reason,49837,MSR_WRITE
L2,1,exit_reason,21531,IO_INSTRUCTION
L2,1,exit_reason,13838,VMWRITE
L2,1,exit_reason,13351,MSR_READ
L2,1,exit_reason,13285,XSETBV
L2,1,exit_reason,13285,VMRESUME
L2,1,exit_reason,7326,VMREAD
L2,1,exit_reason,852,CPUID
L2,1,exit_reason,630,HLT
L2,1,exit_reason,553,PENDING_INTERRUPT
L2,1,exit_reason,356,EXTERNAL_INTERRUPT
L2,1,exit_reason,259,EPT_MISCONFIG
L2,1,exit_reason,213,EPT_VIOLATION
L2,1,exit_reason,179,PREEMPTION_TIMER
L2,1,trap,62534,kvm_x86_msr
L2,1,trap,26570,kvm_mmu_get_page
L2,1,trap,22114,kvm_fpu
L2,1,trap,19862,kvm_mmu_paging_element
L2,1,trap,15260,kvm_x86_nested_vmexit
L2,1,trap,13285,kvm_x86_nested_vmexit_inject
L2,1,trap,10672,kvm_userspace_exit
L2,1,trap,10413,kvm_x86_pio
L2,1,trap,6388,kvm_mmu_pagetable_walk
L2,1,trap,5912,kvm_x86_emulate_insn
L2,1,trap,2644,kvm_ioapic_set_irq
L2,1,trap,2644,kvm_set_irq
L2,1,trap,2644,kvm_x86_pic_set_irq
L2,1,trap,801,kvm_x86_apic_accept_irq
L2,1,trap,801,kvm_x86_eoi
L2,1,trap,687,kvm_x86_inj_virq
L2,1,trap,649,kvm_x86_pv_eoi
L2,1,trap,407,kvm_x86_cpuid
L2,1,trap,394,kvm_mmio
L2,1,trap,259,kvm_x86_vcpu_match_mmio
L2,1,trap,213,kvm_mmu_walker_error
L2,1,trap,213,kvm_x86_page_fault
L2,1,trap,189,kvm_x86_apic
L2,1,trap,74,kvm_mmu_handle_mmio_page_fault
L2,1,trap,37,kvm_ack_irq
L2,0,trap,124329,kvm_x86_entry
L2,0,trap,124329,kvm_x86_exit
L2,0,exit_reason,45046,MSR_WRITE
L2,0,exit_reason,20642,IO_INSTRUCTION
L2,0,exit_reason,12732,VMWRITE
L2,0,exit_reason,12190,MSR_READ
L2,0,exit_reason,12133,XSETBV
L2,0,exit_reason,12133,VMRESUME
L2,0,exit_reason,6712,VMREAD
L2,0,exit_reason,796,CPUID
L2,0,exit_reason,581,HLT
L2,0,exit_reason,485,PENDING_INTERRUPT
L2,0,exit_reason,291,EXTERNAL_INTERRUPT
L2,0,exit_reason,238,EPT_VIOLATION
L2,0,exit_reason,223,EPT_MISCONFIG
L2,0,exit_reason,127,PREEMPTION_TIMER
L2,0,trap,56672,kvm_x86_msr
L2,0,trap,24267,kvm_mmu_get_page
L2,0,trap,21970,kvm_fpu
L2,0,trap,19563,kvm_mmu_paging_element
L2,0,trap,13277,kvm_x86_nested_vmexit
L2,0,trap,12133,kvm_x86_nested_vmexit_inject
L2,0,trap,10602,kvm_userspace_exit
L2,0,trap,10379,kvm_x86_pio
L2,0,trap,6325,kvm_mmu_pagetable_walk
L2,0,trap,5861,kvm_x86_emulate_insn
L2,0,trap,2630,kvm_set_irq
L2,0,trap,2630,kvm_x86_pic_set_irq
L2,0,trap,2630,kvm_ioapic_set_irq
L2,0,trap,713,kvm_x86_eoi
L2,0,trap,713,kvm_x86_apic_accept_irq
L2,0,trap,607,kvm_x86_inj_virq
L2,0,trap,571,kvm_x86_pv_eoi
L2,0,trap,400,kvm_x86_cpuid
L2,0,trap,341,kvm_mmio
L2,0,trap,238,kvm_x86_page_fault
L2,0,trap,223,kvm_x86_vcpu_match_mmio
L2,0,trap,176,kvm_x86_apic
L2,0,trap,171,kvm_mmu_walker_error
L2,0,trap,68,kvm_mmu_handle_mmio_page_fault
L2,0,trap,34,kvm_ack_irq
L2,0,trap,1,kvm_mmu_prepare_zap_page
L1,0,trap,22053,kvm_fpu
L1,0,trap,18443,kvm_mmu_paging_element
L1,0,trap,12755,kvm_x86_entry
L1,0,trap,12754,kvm_x86_exit
L1,0,exit_reason,10270,IO_INSTRUCTION
L1,0,exit_reason,1223,MSR_WRITE
L1,0,exit_reason,538,HLT
L1,0,exit_reason,396,CPUID
L1,0,exit_reason,221,EPT_MISCONFIG
L1,0,exit_reason,35,EXTERNAL_INTERRUPT
L1,0,exit_reason,35,MSR_READ
L1,0,exit_reason,25,PREEMPTION_TIMER
L1,0,exit_reason,11,PENDING_INTERRUPT
L1,0,trap,10491,kvm_userspace_exit
L1,0,trap,10270,kvm_x86_pio
L1,0,trap,6012,kvm_mmu_pagetable_walk
L1,0,trap,5791,kvm_x86_emulate_insn
L1,0,trap,2600,kvm_ioapic_set_irq
L1,0,trap,2600,kvm_set_irq
L1,0,trap,2600,kvm_x86_pic_set_irq
L1,0,trap,1258,kvm_x86_msr
L1,0,trap,590,kvm_x86_eoi
L1,0,trap,590,kvm_x86_inj_virq
L1,0,trap,590,kvm_x86_apic_accept_irq
L1,0,trap,554,kvm_x86_pv_eoi
L1,0,trap,396,kvm_x86_cpuid
L1,0,trap,339,kvm_mmio
L1,0,trap,221,kvm_x86_vcpu_match_mmio
L1,0,trap,71,kvm_x86_apic
L1,0,trap,70,kvm_mmu_handle_mmio_page_fault
L1,0,trap,35,kvm_ack_irq
L1,1,trap,23520,kvm_fpu
L1,1,trap,19861,kvm_mmu_paging_element
L1,1,trap,13714,kvm_x86_entry
L1,1,trap,13714,kvm_x86_exit
L1,1,exit_reason,10921,IO_INSTRUCTION
L1,1,exit_reason,1322,MSR_WRITE
L1,1,exit_reason,577,HLT
L1,1,exit_reason,445,CPUID
L1,1,exit_reason,269,EPT_MISCONFIG
L1,1,exit_reason,67,EXTERNAL_INTERRUPT
L1,1,exit_reason,50,PREEMPTION_TIMER
L1,1,exit_reason,43,MSR_READ
L1,1,exit_reason,20,PENDING_INTERRUPT
L1,1,trap,11188,kvm_userspace_exit
L1,1,trap,10919,kvm_x86_pio
L1,1,trap,6454,kvm_mmu_pagetable_walk
L1,1,trap,6181,kvm_x86_emulate_insn
L1,1,trap,2749,kvm_set_irq
L1,1,trap,2749,kvm_ioapic_set_irq
L1,1,trap,2749,kvm_x86_pic_set_irq
L1,1,trap,1365,kvm_x86_msr
L1,1,trap,669,kvm_x86_eoi
L1,1,trap,669,kvm_x86_apic_accept_irq
L1,1,trap,669,kvm_x86_inj_virq
L1,1,trap,625,kvm_x86_pv_eoi
L1,1,trap,445,kvm_x86_cpuid
L1,1,trap,412,kvm_mmio
L1,1,trap,269,kvm_x86_vcpu_match_mmio
L1,1,trap,87,kvm_x86_apic
L1,1,trap,86,kvm_mmu_handle_mmio_page_fault
L1,1,trap,43,kvm_ack_irq
