layer,tracing_enabled,type,freq,event
L2,0,trap,18994,kvm_x86_exit
L2,0,exit_reason,6382,MSR_WRITE
L2,0,exit_reason,2196,IO_INSTRUCTION
L2,0,exit_reason,2045,VMWRITE
L2,0,exit_reason,1988,MSR_READ
L2,0,exit_reason,1929,XSETBV
L2,0,exit_reason,1929,VMRESUME
L2,0,exit_reason,972,VMREAD
L2,0,exit_reason,796,CPUID
L2,0,exit_reason,231,EPT_MISCONFIG
L2,0,exit_reason,196,EPT_VIOLATION
L2,0,exit_reason,112,HLT
L2,0,exit_reason,98,EXTERNAL_INTERRUPT
L2,0,exit_reason,62,PREEMPTION_TIMER
L2,0,exit_reason,58,PENDING_INTERRUPT
L2,0,trap,18994,kvm_x86_entry
L2,0,trap,8217,kvm_x86_msr
L2,0,trap,4539,kvm_mmu_paging_element
L2,0,trap,3858,kvm_mmu_get_page
L2,0,trap,2857,kvm_fpu
L2,0,trap,2842,kvm_x86_nested_vmexit
L2,0,trap,1929,kvm_x86_nested_vmexit_inject
L2,0,trap,1359,kvm_userspace_exit
L2,0,trap,1311,kvm_mmu_pagetable_walk
L2,0,trap,1127,kvm_x86_pio
L2,0,trap,881,kvm_x86_emulate_insn
L2,0,trap,400,kvm_x86_cpuid
L2,0,trap,365,kvm_x86_pic_set_irq
L2,0,trap,365,kvm_ioapic_set_irq
L2,0,trap,365,kvm_set_irq
L2,0,trap,354,kvm_mmio
L2,0,trap,231,kvm_x86_vcpu_match_mmio
L2,0,trap,196,kvm_x86_page_fault
L2,0,trap,188,kvm_x86_apic_accept_irq
L2,0,trap,187,kvm_x86_eoi
L2,0,trap,177,kvm_mmu_walker_error
L2,0,trap,151,kvm_x86_inj_virq
L2,0,trap,113,kvm_x86_pv_eoi
L2,0,trap,110,kvm_x86_apic
L2,0,trap,73,kvm_mmu_handle_mmio_page_fault
L2,0,trap,36,kvm_ack_irq
L2,1,trap,24600,kvm_x86_exit
L2,1,exit_reason,9408,MSR_WRITE
L2,1,exit_reason,2526,VMWRITE
L2,1,exit_reason,2459,MSR_READ
L2,1,exit_reason,2389,XSETBV
L2,1,exit_reason,2389,VMRESUME
L2,1,exit_reason,2388,IO_INSTRUCTION
L2,1,exit_reason,1246,VMREAD
L2,1,exit_reason,852,CPUID
L2,1,exit_reason,265,EPT_MISCONFIG
L2,1,exit_reason,250,EPT_VIOLATION
L2,1,exit_reason,155,HLT
L2,1,exit_reason,101,EXTERNAL_INTERRUPT
L2,1,exit_reason,87,PREEMPTION_TIMER
L2,1,exit_reason,85,PENDING_INTERRUPT
L2,1,trap,24599,kvm_x86_entry
L2,1,trap,11630,kvm_x86_msr
L2,1,trap,5105,kvm_x86_nested_vmexit
L2,1,trap,5044,kvm_mmu_paging_element
L2,1,trap,4778,kvm_mmu_get_page
L2,1,trap,2989,kvm_fpu
L2,1,trap,2389,kvm_x86_nested_vmexit_inject
L2,1,trap,1439,kvm_mmu_pagetable_walk
L2,1,trap,1398,kvm_userspace_exit
L2,1,trap,1133,kvm_x86_pio
L2,1,trap,920,kvm_x86_emulate_insn
L2,1,trap,407,kvm_x86_cpuid
L2,1,trap,404,kvm_mmio
L2,1,trap,378,kvm_x86_pic_set_irq
L2,1,trap,378,kvm_ioapic_set_irq
L2,1,trap,378,kvm_set_irq
L2,1,trap,265,kvm_x86_vcpu_match_mmio
L2,1,trap,250,kvm_x86_page_fault
L2,1,trap,240,kvm_x86_apic_accept_irq
L2,1,trap,240,kvm_x86_eoi
L2,1,trap,232,kvm_mmu_walker_error
L2,1,trap,193,kvm_x86_inj_virq
L2,1,trap,156,kvm_x86_pv_eoi
L2,1,trap,123,kvm_x86_apic
L2,1,trap,78,kvm_mmu_handle_mmio_page_fault
L2,1,trap,39,kvm_ack_irq
L1,0,trap,3500,kvm_mmu_paging_element
L1,0,trap,2749,kvm_fpu
L1,0,trap,2004,kvm_x86_entry
L1,0,trap,2003,kvm_x86_exit
L1,0,exit_reason,1088,IO_INSTRUCTION
L1,0,exit_reason,396,CPUID
L1,0,exit_reason,210,EPT_MISCONFIG
L1,0,exit_reason,141,MSR_WRITE
L1,0,exit_reason,75,HLT
L1,0,exit_reason,34,MSR_READ
L1,0,exit_reason,28,EXTERNAL_INTERRUPT
L1,0,exit_reason,25,PREEMPTION_TIMER
L1,0,exit_reason,6,PENDING_INTERRUPT
L1,0,trap,1298,kvm_userspace_exit
L1,0,trap,1088,kvm_x86_pio
L1,0,trap,1038,kvm_mmu_pagetable_walk
L1,0,trap,828,kvm_x86_emulate_insn
L1,0,trap,396,kvm_x86_cpuid
L1,0,trap,346,kvm_x86_pic_set_irq
L1,0,trap,346,kvm_set_irq
L1,0,trap,346,kvm_ioapic_set_irq
L1,0,trap,322,kvm_mmio
L1,0,trap,210,kvm_x86_vcpu_match_mmio
L1,0,trap,175,kvm_x86_msr
L1,0,trap,127,kvm_x86_inj_virq
L1,0,trap,127,kvm_x86_apic_accept_irq
L1,0,trap,127,kvm_x86_eoi
L1,0,trap,93,kvm_x86_pv_eoi
L1,0,trap,68,kvm_mmu_handle_mmio_page_fault
L1,0,trap,68,kvm_x86_apic
L1,0,trap,34,kvm_ack_irq
L1,1,trap,4327,kvm_mmu_paging_element
L1,1,trap,3317,kvm_fpu
L1,1,trap,2479,kvm_x86_exit
L1,1,exit_reason,1297,IO_INSTRUCTION
L1,1,exit_reason,445,CPUID
L1,1,exit_reason,267,EPT_MISCONFIG
L1,1,exit_reason,216,MSR_WRITE
L1,1,exit_reason,96,HLT
L1,1,exit_reason,57,EXTERNAL_INTERRUPT
L1,1,exit_reason,47,PREEMPTION_TIMER
L1,1,exit_reason,42,MSR_READ
L1,1,exit_reason,12,PENDING_INTERRUPT
L1,1,trap,2478,kvm_x86_entry
L1,1,trap,1562,kvm_userspace_exit
L1,1,trap,1295,kvm_x86_pio
L1,1,trap,1277,kvm_mmu_pagetable_walk
L1,1,trap,1006,kvm_x86_emulate_insn
L1,1,trap,445,kvm_x86_cpuid
L1,1,trap,410,kvm_x86_pic_set_irq
L1,1,trap,410,kvm_set_irq
L1,1,trap,410,kvm_ioapic_set_irq
L1,1,trap,407,kvm_mmio
L1,1,trap,267,kvm_x86_vcpu_match_mmio
L1,1,trap,258,kvm_x86_msr
L1,1,trap,183,kvm_x86_apic_accept_irq
L1,1,trap,183,kvm_x86_inj_virq
L1,1,trap,183,kvm_x86_eoi
L1,1,trap,141,kvm_x86_pv_eoi
L1,1,trap,84,kvm_x86_apic
L1,1,trap,84,kvm_mmu_handle_mmio_page_fault
L1,1,trap,42,kvm_ack_irq
