layer,tracing_enabled,type,freq,event
L1,0,exit_reason,396,CPUID
L1,0,exit_reason,228,EPT_MISCONFIG
L1,0,exit_reason,100,EXTERNAL_INTERRUPT
L1,0,exit_reason,85,PREEMPTION_TIMER
L1,0,exit_reason,71,PENDING_INTERRUPT
L1,0,exit_reason,35,MSR_READ
L1,0,trap,102333,kvm_userspace_exit
L1,0,trap,102105,kvm_x86_pio
L1,0,trap,55557,kvm_mmu_pagetable_walk
L1,0,trap,55325,kvm_x86_emulate_insn
L1,0,trap,25114,kvm_set_irq
L1,0,trap,25114,kvm_x86_pic_set_irq
L1,0,trap,25114,kvm_ioapic_set_irq
L1,0,trap,12676,kvm_x86_msr
L1,0,trap,5186,kvm_x86_inj_virq
L1,0,trap,5186,kvm_x86_apic_accept_irq
L1,0,trap,5186,kvm_x86_eoi
L1,0,trap,5140,kvm_x86_pv_eoi
L1,0,trap,396,kvm_x86_cpuid
L1,0,trap,350,kvm_mmio
L1,0,trap,228,kvm_x86_vcpu_match_mmio
L1,0,trap,81,kvm_x86_apic
L1,0,trap,70,kvm_mmu_handle_mmio_page_fault
L1,0,trap,35,kvm_ack_irq
