layer,tracing_enabled,type,freq,event
L1,1,trap,2243410,kvm_fpu
L1,1,trap,1731509,kvm_mmu_paging_element
L1,1,trap,1257950,kvm_x86_exit
L1,1,exit_reason,1072082,IO_INSTRUCTION
L1,1,exit_reason,126720,MSR_WRITE
L1,1,exit_reason,49665,HLT
L1,1,exit_reason,5722,EXTERNAL_INTERRUPT
L1,1,exit_reason,1462,PREEMPTION_TIMER
L1,1,exit_reason,1444,PENDING_INTERRUPT
L1,1,exit_reason,445,CPUID
L1,1,exit_reason,333,EPT_MISCONFIG
L1,1,exit_reason,76,MSR_READ
L1,1,exit_reason,1,EPT_VIOLATION
L1,1,trap,1257950,kvm_x86_entry
L1,1,trap,1072385,kvm_userspace_exit
L1,1,trap,1072052,kvm_x86_pio
L1,1,trap,576953,kvm_mmu_pagetable_walk
L1,1,trap,576560,kvm_x86_emulate_insn
L1,1,trap,260213,kvm_set_irq
L1,1,trap,260213,kvm_x86_pic_set_irq
L1,1,trap,260213,kvm_ioapic_set_irq
L1,1,trap,126796,kvm_x86_msr
L1,1,trap,55140,kvm_x86_inj_virq
L1,1,trap,55138,kvm_x86_apic_accept_irq
L1,1,trap,55138,kvm_x86_eoi
L1,1,trap,54980,kvm_x86_pv_eoi
L1,1,trap,541,kvm_mmio
L1,1,trap,445,kvm_x86_cpuid
L1,1,trap,333,kvm_x86_vcpu_match_mmio
L1,1,trap,234,kvm_x86_apic
L1,1,trap,152,kvm_mmu_handle_mmio_page_fault
L1,1,trap,76,kvm_ack_irq
L1,1,trap,1,kvm_x86_page_fault
