2297050,2164506,0.942298,0.057702
1461397,1316440,0.900809,0.099191
2982318,2732124,0.916108,0.083892
3003210,2745090,0.914052,0.085948
2643362,2391058,0.904552,0.095448
3613329,3346810,0.926240,0.073760
1354022,1222518,0.902879,0.097121
3489783,3232936,0.926400,0.073600
2666979,2416389,0.906040,0.093960
3097358,2795664,0.902596,0.097404
2105714,1985379,0.942853,0.057147
3994071,3641911,0.911829,0.088171
2807869,2563391,0.912931,0.087069
3503378,3231872,0.922502,0.077498
1350603,1244380,0.921351,0.078649
