layer,tracer,workload,configuration,time
L1,None,syscall_benchmark,getcpu_0_5000,127479
L1,None,syscall_benchmark,getcpu_0_5000,128217
L1,None,syscall_benchmark,getcpu_0_5000,118345
L1,None,syscall_benchmark,getcpu_0_5000,118354
L1,None,syscall_benchmark,getcpu_0_5000,118502
L1,None,syscall_benchmark,getcpu_0_5000,132267
L1,None,syscall_benchmark,getcpu_0_5000,127192
L1,None,syscall_benchmark,getcpu_0_5000,128849
L1,None,syscall_benchmark,getcpu_0_5000,119621
L1,None,syscall_benchmark,getcpu_0_5000,132706
L1,None,syscall_benchmark,getcpu_0_5000,128304
L1,None,syscall_benchmark,getcpu_0_5000,133569
L1,None,syscall_benchmark,getcpu_0_5000,118266
L1,None,syscall_benchmark,getcpu_0_5000,127496
L1,None,syscall_benchmark,getcpu_0_5000,145637
L1,None,syscall_benchmark,getcpu_0_5000,147794
L1,None,syscall_benchmark,getcpu_0_5000,127419
L1,None,syscall_benchmark,getcpu_0_5000,118296
L1,None,syscall_benchmark,getcpu_0_5000,118319
L1,None,syscall_benchmark,getcpu_0_5000,127561
L1,None,syscall_benchmark,getcpu_0_5000,213065
L1,None,syscall_benchmark,getcpu_0_5000,119163
L1,None,syscall_benchmark,getcpu_0_5000,118173
L1,None,syscall_benchmark,getcpu_0_5000,127856
L1,None,syscall_benchmark,getcpu_0_5000,124345
L1,None,syscall_benchmark,getcpu_0_5000,127089
L1,None,syscall_benchmark,getcpu_0_5000,119708
L1,None,syscall_benchmark,getcpu_0_5000,119100
L1,None,syscall_benchmark,getcpu_0_5000,154058
L1,None,syscall_benchmark,getcpu_0_5000,118271

L1,Perf,syscall_benchmark,getcpu_0_5000,1082940
L1,Perf,syscall_benchmark,getcpu_0_5000,1112590
L1,Perf,syscall_benchmark,getcpu_0_5000,1071214
L1,Perf,syscall_benchmark,getcpu_0_5000,1065123
L1,Perf,syscall_benchmark,getcpu_0_5000,1068072
L1,Perf,syscall_benchmark,getcpu_0_5000,1076526
L1,Perf,syscall_benchmark,getcpu_0_5000,1083945
L1,Perf,syscall_benchmark,getcpu_0_5000,1052326
L1,Perf,syscall_benchmark,getcpu_0_5000,1068086
L1,Perf,syscall_benchmark,getcpu_0_5000,1082971
L1,Perf,syscall_benchmark,getcpu_0_5000,1109089
L1,Perf,syscall_benchmark,getcpu_0_5000,1036104
L1,Perf,syscall_benchmark,getcpu_0_5000,1054194
L1,Perf,syscall_benchmark,getcpu_0_5000,1124764
L1,Perf,syscall_benchmark,getcpu_0_5000,1070097
L1,Perf,syscall_benchmark,getcpu_0_5000,1080834
L1,Perf,syscall_benchmark,getcpu_0_5000,1056088
L1,Perf,syscall_benchmark,getcpu_0_5000,1043217
L1,Perf,syscall_benchmark,getcpu_0_5000,1146672
L1,Perf,syscall_benchmark,getcpu_0_5000,1106437
L1,Perf,syscall_benchmark,getcpu_0_5000,1094953
L1,Perf,syscall_benchmark,getcpu_0_5000,1064991
L1,Perf,syscall_benchmark,getcpu_0_5000,1056650
L1,Perf,syscall_benchmark,getcpu_0_5000,1043065
L1,Perf,syscall_benchmark,getcpu_0_5000,1115466
L1,Perf,syscall_benchmark,getcpu_0_5000,1135043
L1,Perf,syscall_benchmark,getcpu_0_5000,1077921
L1,Perf,syscall_benchmark,getcpu_0_5000,1104270
L1,Perf,syscall_benchmark,getcpu_0_5000,1066847
L1,Perf,syscall_benchmark,getcpu_0_5000,1088252



L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2281900
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2277675
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2425987
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2157770
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2593288
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2359529
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2163953
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2074033
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2083954
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2330069
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2187463
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2091856
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2127092
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2160865
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2123810
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2085061
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2084968
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2070379
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2089318
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2258097
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2142551
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2331513
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2220751
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2189918
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2136791
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2098662
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2126342
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2204327
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2188005
L1,Hypertracing,syscall_benchmark,getcpu_0_5000,2123846
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_0_5000,882352
