layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Perf,cpu_benchmark,1_10000,7478762423,IO_INSTRUCTION,151,990502,6559.62
L1,Perf,cpu_benchmark,1_10000,7478762423,CPUID,63,25414,403.4
L1,Perf,cpu_benchmark,1_10000,7478762423,PENDING_INTERRUPT,18,6972,387.33
L1,Perf,cpu_benchmark,1_10000,7478762423,PAUSE_INSTRUCTION,12,3565,297.08
L1,Perf,cpu_benchmark,1_10000,7478762423,MSR_READ,1,860,860.0
L1,Perf,cpu_benchmark,1_10000,7478762423,EXCEPTION_NMI,1,294,294.0
L1,Perf,cpu_benchmark,1_10000,7478762423,VMCALL,1,0,0.0
L1,Perf,cpu_benchmark,1_10000,7476406827,HLT,1638,44972099,27455.49
L1,Perf,cpu_benchmark,1_10000,7476406827,PREEMPTION_TIMER,1898,2777407,1463.33
L1,Perf,cpu_benchmark,1_10000,7476406827,EPT_MISCONFIG,1722,2088967,1213.11
L1,Perf,cpu_benchmark,1_10000,7476406827,EXTERNAL_INTERRUPT,1965,1483359,754.89
L1,Perf,cpu_benchmark,1_10000,7476406827,MSR_WRITE,1919,1342073,699.36
L1,Perf,cpu_benchmark,1_10000,7476406827,IO_INSTRUCTION,151,905583,5997.24
L1,Perf,cpu_benchmark,1_10000,7476406827,CPUID,63,27814,441.49
L1,Perf,cpu_benchmark,1_10000,7476406827,PENDING_INTERRUPT,27,12217,452.48
L1,Perf,cpu_benchmark,1_10000,7476406827,PAUSE_INSTRUCTION,8,2089,261.12
L1,Perf,cpu_benchmark,1_10000,7476406827,MSR_READ,1,690,690.0
L1,Perf,cpu_benchmark,1_10000,7476406827,VMCALL,1,0,0.0
L1,Perf,cpu_benchmark,1_10000,7488307105,HLT,1640,49594401,30240.49
L1,Perf,cpu_benchmark,1_10000,7488307105,PREEMPTION_TIMER,1900,2896064,1524.24
L1,Perf,cpu_benchmark,1_10000,7488307105,EPT_MISCONFIG,1737,2064269,1188.41
L1,Perf,cpu_benchmark,1_10000,7488307105,MSR_WRITE,1921,1646926,857.33
L1,Perf,cpu_benchmark,1_10000,7488307105,EXTERNAL_INTERRUPT,1957,1494149,763.49
L1,Perf,cpu_benchmark,1_10000,7488307105,IO_INSTRUCTION,188,999998,5319.14
L1,Perf,cpu_benchmark,1_10000,7488307105,CPUID,63,26600,422.22
