layer,tracer,workload,configuration,time
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5796550450
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5749453660
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5745416089
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5794603695
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5810985896
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5823048750
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5750595035
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5759813417
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5847675526
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5918563073
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5759506031
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5762350927
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5761274175
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5767860178
L1,Lttng_flight_recorder,syscall_benchmark,getcpu_1_10000000,5843280752
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6129212063
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6143796364
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6106469944
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6092395945
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6149323516
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6115361716
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6091320944
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6123095791
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6247457534
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6167782622
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6109939601
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6100811561
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6115142205
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6112848268
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6118096143
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6121430637
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6077972782
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6152607698
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6112331767
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6140365276
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6117073428
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6130459426
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6120138173
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6157941074
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6120946674
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6138746084
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6106347160
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6102094745
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6110559991
L1,Lttng,syscall_benchmark,getcpu_1_10000000,6117573820
L1,Strace_flight_recorder,syscall_benchmark,getcpu_1_10000000,34615692162
L1,Strace_flight_recorder,syscall_benchmark,getcpu_1_10000000,34850102046
L1,Strace_flight_recorder,syscall_benchmark,getcpu_1_10000000,34856028350
L1,Strace_flight_recorder,syscall_benchmark,getcpu_1_10000000,35541017083
L1,Strace_flight_recorder,syscall_benchmark,getcpu_1_10000000,34520154973
L1,Strace_flight_recorder,syscall_benchmark,getcpu_1_10000000,34382665906
L1,Strace,syscall_benchmark,getcpu_1_10000000,41140951606
L1,Strace,syscall_benchmark,getcpu_1_10000000,43298209787
L1,Strace,syscall_benchmark,getcpu_1_10000000,42050329080
L1,Strace,syscall_benchmark,getcpu_1_10000000,43497700207
L1,Strace,syscall_benchmark,getcpu_1_10000000,42211534569
L1,Strace,syscall_benchmark,getcpu_1_10000000,43470569367

L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6356524388
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6351060741
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6345392603
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6361413438
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6362202571
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6338593964
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6342618552
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6353835640
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6363951109
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6339722137
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6325944232
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6358182028
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6350395250
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6325104746
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6350715173
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6347825633
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6340606912
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6343530366
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6353141954
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6350487276
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6627958966
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6343285128
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6347015683
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6422670090
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6348529052
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6342093117
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6366412657
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6353460092
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6371854466
L1,Hypertracing_compress_3,syscall_benchmark,getcpu_1_10000000,6371133232
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6882762587

L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9167109439
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9158838164
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9159246147
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9113812857
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9125494569
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9256867975
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9138426568
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9127593415
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9148688197
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9160843353
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9189995533
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9143362772
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9235455908
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9136020207
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9291017776
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9114726898
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9133123701
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9111077317
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9115640440
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9135853490
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9142316960
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9225398916
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9135401642
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9129149049
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9152770812
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9203867031
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9171071161
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9334232184
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9250076931
L1,Hypertracing,syscall_benchmark,getcpu_1_10000000,9111057563

L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8355108585
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8340315355
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8312960930
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8316020798
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8314852323
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8339670444
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8329563708
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8308637462
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8390957567
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8353088762
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8342102543
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8354138951
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8348963198
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8365631435
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8308701715
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8318707543
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8345493701
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8322857959
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8314542037
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8337147064
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8374061189
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8380088155
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8330930292
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8369113427
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8344569875
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8331931784
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8328212920
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8341376626
L1,Hypertracing_no_host,syscall_benchmark,getcpu_1_10000000,8316759107

L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5100208206
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5131020218
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5118642356
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5128980197
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5102752764
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5314592035
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5112520314
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5111057745
