layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Ftrace,cpu_benchmark,1_5000,2708764707,HLT,14,698003,49857.36
L1,Ftrace,cpu_benchmark,1_5000,2708764707,PREEMPTION_TIMER,693,303243,437.58
L1,Ftrace,cpu_benchmark,1_5000,2708764707,IO_INSTRUCTION,87,250787,2882.61
L1,Ftrace,cpu_benchmark,1_5000,2708764707,MSR_WRITE,694,215910,311.11
L1,Ftrace,cpu_benchmark,1_5000,2708764707,EPT_MISCONFIG,51,90128,1767.22
L1,Ftrace,cpu_benchmark,1_5000,2708764707,CPUID,21,9643,459.19
L1,Ftrace,cpu_benchmark,1_5000,2708764707,PENDING_INTERRUPT,7,2684,383.43
L1,Ftrace,cpu_benchmark,1_5000,2708764707,PAUSE_INSTRUCTION,8,1715,214.38
L1,Ftrace,cpu_benchmark,1_5000,2708764707,VMCALL,1,0,0.0
L1,Ftrace,cpu_benchmark,1_5000,2711397622,HLT,37,1325123,35814.14
L1,Ftrace,cpu_benchmark,1_5000,2711397622,PREEMPTION_TIMER,695,315906,454.54
L1,Ftrace,cpu_benchmark,1_5000,2711397622,IO_INSTRUCTION,90,259414,2882.38
L1,Ftrace,cpu_benchmark,1_5000,2711397622,MSR_WRITE,696,240020,344.86
L1,Ftrace,cpu_benchmark,1_5000,2711397622,EXTERNAL_INTERRUPT,697,175661,252.02
L1,Ftrace,cpu_benchmark,1_5000,2711397622,EPT_MISCONFIG,53,57670,1088.11
L1,Ftrace,cpu_benchmark,1_5000,2711397622,CPUID,21,7143,340.14
L1,Ftrace,cpu_benchmark,1_5000,2711397622,PAUSE_INSTRUCTION,8,1605,200.62
L1,Ftrace,cpu_benchmark,1_5000,2711397622,PENDING_INTERRUPT,4,1201,300.25
L1,Ftrace,cpu_benchmark,1_5000,2711397622,MSR_READ,1,862,862.0
L1,Ftrace,cpu_benchmark,1_5000,2711397622,VMCALL,1,0,0.0
L1,Ftrace,cpu_benchmark,1_5000,2707233857,HLT,36,1153726,32047.94
L1,Ftrace,cpu_benchmark,1_5000,2707233857,PREEMPTION_TIMER,693,313325,452.13
L1,Ftrace,cpu_benchmark,1_5000,2707233857,MSR_WRITE,693,223108,321.95
L1,Ftrace,cpu_benchmark,1_5000,2707233857,IO_INSTRUCTION,51,183698,3601.92
L1,Ftrace,cpu_benchmark,1_5000,2707233857,EXTERNAL_INTERRUPT,694,146251,210.74
L1,Ftrace,cpu_benchmark,1_5000,2707233857,EPT_MISCONFIG,53,60049,1133.0
L1,Ftrace,cpu_benchmark,1_5000,2707233857,CPUID,21,7802,371.52
L1,Ftrace,cpu_benchmark,1_5000,2707233857,PENDING_INTERRUPT,5,1818,363.6
L1,Ftrace,cpu_benchmark,1_5000,2707233857,PAUSE_INSTRUCTION,4,820,205.0
L1,Ftrace,cpu_benchmark,1_5000,2707233857,VMCALL,1,0,0.0
L1,Ftrace,cpu_benchmark,1_5000,2707565465,HLT,37,1821752,49236.54
L1,Ftrace,cpu_benchmark,1_5000,2707565465,PREEMPTION_TIMER,693,320598,462.62
L1,Ftrace,cpu_benchmark,1_5000,2707565465,IO_INSTRUCTION,87,267646,3076.39
L1,Ftrace,cpu_benchmark,1_5000,2707565465,MSR_WRITE,693,228119,329.18
L1,Ftrace,cpu_benchmark,1_5000,2707565465,EXTERNAL_INTERRUPT,686,136884,199.54
L1,Ftrace,cpu_benchmark,1_5000,2707565465,EPT_MISCONFIG,49,49679,1013.86
L1,Ftrace,cpu_benchmark,1_5000,2707565465,CPUID,21,6847,326.05
L1,Ftrace,cpu_benchmark,1_5000,2707565465,PAUSE_INSTRUCTION,8,1669,208.62
L1,Ftrace,cpu_benchmark,1_5000,2707565465,PENDING_INTERRUPT,4,1268,317.0
L1,Ftrace,cpu_benchmark,1_5000,2707565465,VMCALL,1,0,0.0
L1,Ftrace,cpu_benchmark,1_5000,2712150075,HLT,38,1245790,32783.95
L1,Ftrace,cpu_benchmark,1_5000,2712150075,PREEMPTION_TIMER,695,330536,475.59
L1,Ftrace,cpu_benchmark,1_5000,2712150075,IO_INSTRUCTION,87,254251,2922.43
