layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Lttng_After,cpu_benchmark,1_10000,7227036609,EXTERNAL_INTERRUPT,1793,1749676,975.84
L1,Lttng_After,cpu_benchmark,1_10000,7227036609,EPT_MISCONFIG,29,125844,4339.45
L1,Lttng_After,cpu_benchmark,1_10000,7227036609,CPUID,35,46998,1342.8
L1,Lttng_After,cpu_benchmark,1_10000,7227036609,PAUSE_INSTRUCTION,27,44492,1647.85
L1,Lttng_After,cpu_benchmark,1_10000,7227036609,PENDING_INTERRUPT,15,35072,2338.13
L1,Lttng_After,cpu_benchmark,1_10000,7227036609,MSR_READ,1,1570,1570.0
L1,Lttng_After,cpu_benchmark,1_10000,7227036609,EXCEPTION_NMI,1,933,933.0
L1,Lttng_After,cpu_benchmark,1_10000,7227036609,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,HLT,292,228266467,781734.48
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,EXTERNAL_INTERRUPT,1805,7684242,4257.2
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,MSR_WRITE,2422,5730969,2366.21
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,PREEMPTION_TIMER,1766,4881451,2764.13
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,IO_INSTRUCTION,292,2872535,9837.45
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,EPT_MISCONFIG,30,176543,5884.77
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,CPUID,35,48308,1380.23
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,PAUSE_INSTRUCTION,34,36782,1081.82
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,PENDING_INTERRUPT,17,33980,1998.82
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,MSR_READ,1,1526,1526.0
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,EXCEPTION_NMI,1,981,981.0
L1,Lttng_After,cpu_benchmark,1_10000,7268188176,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,HLT,264,224982690,852207.16
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,EXTERNAL_INTERRUPT,1816,7507485,4134.08
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,MSR_WRITE,2392,5530523,2312.09
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,PREEMPTION_TIMER,1793,4780759,2666.35
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,IO_INSTRUCTION,292,2708772,9276.62
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,EPT_MISCONFIG,30,140258,4675.27
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,CPUID,35,47456,1355.89
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,PENDING_INTERRUPT,16,47358,2959.88
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,PAUSE_INSTRUCTION,28,32443,1158.68
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,MSR_READ,1,1642,1642.0
L1,Lttng_After,cpu_benchmark,1_10000,7283135203,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,HLT,301,217501669,722596.91
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,MSR_WRITE,2451,5999317,2447.7
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,PREEMPTION_TIMER,1764,4669216,2646.95
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,IO_INSTRUCTION,258,2430746,9421.5
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,EXTERNAL_INTERRUPT,1802,2169460,1203.92
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,EPT_MISCONFIG,28,126866,4530.93
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,CPUID,35,59093,1688.37
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,PENDING_INTERRUPT,19,54582,2872.74
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,PAUSE_INSTRUCTION,19,20980,1104.21
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,MSR_READ,2,3047,1523.5
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,EXCEPTION_NMI,1,1069,1069.0
L1,Lttng_After,cpu_benchmark,1_10000,7261328582,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,HLT,223,224468834,1006586.7
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,MSR_WRITE,2190,4977821,2272.98
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,PREEMPTION_TIMER,1783,4655687,2611.15
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,IO_INSTRUCTION,291,2816449,9678.52
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,EXTERNAL_INTERRUPT,1776,1777004,1000.57
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,EPT_MISCONFIG,30,135733,4524.43
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,CPUID,35,61891,1768.31
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,PENDING_INTERRUPT,17,40702,2394.24
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,PAUSE_INSTRUCTION,27,37154,1376.07
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,MSR_READ,1,1917,1917.0
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,EXCEPTION_NMI,1,866,866.0
L1,Lttng_After,cpu_benchmark,1_10000,7243222669,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,HLT,260,228125934,877407.44
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,EXTERNAL_INTERRUPT,1794,8389783,4676.58
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,MSR_WRITE,2376,5795937,2439.37
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,PREEMPTION_TIMER,1793,4839456,2699.08
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,IO_INSTRUCTION,254,2560828,10082.0
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,EPT_MISCONFIG,30,144464,4815.47
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,CPUID,35,46786,1336.74
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,PENDING_INTERRUPT,15,34804,2320.27
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,PAUSE_INSTRUCTION,23,26066,1133.3
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,MSR_READ,1,1517,1517.0
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,EXCEPTION_NMI,1,963,963.0
L1,Lttng_After,cpu_benchmark,1_10000,7255372530,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,HLT,313,230580852,736680.04
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,EXTERNAL_INTERRUPT,1880,8507120,4525.06
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,MSR_WRITE,2548,6214073,2438.8
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,PREEMPTION_TIMER,1772,4778036,2696.41
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,IO_INSTRUCTION,291,2702142,9285.71
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,EPT_MISCONFIG,32,147953,4623.53
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,PAUSE_INSTRUCTION,43,58059,1350.21
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,CPUID,35,47593,1359.8
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,PENDING_INTERRUPT,22,47578,2162.64
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,MSR_READ,1,1519,1519.0
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,EXCEPTION_NMI,1,941,941.0
L1,Lttng_After,cpu_benchmark,1_10000,7263704995,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,HLT,232,213448685,920037.44
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,MSR_WRITE,2295,5392909,2349.85
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,PREEMPTION_TIMER,1765,4649279,2634.15
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,IO_INSTRUCTION,254,2372295,9339.74
