duration, hypercalls
4790000,12293
4800000,12311
4810000,12344
4820000,12359
4830000,12397
4840000,12419
4850000,12448
4860000,12465
4870000,12480
4880000,12525
4890000,12546
4900000,12566
4910000,12603
4920000,12621
4930000,12651
4940000,12678
4950000,12685
4960000,12709
4970000,12746
4980000,12779
4990000,12807
5000000,12804
5010000,12859
5020000,12877
5030000,12917
5040000,12958
5050000,12977
5060000,13010
5070000,13003
5080000,13061
5090000,13092
5100000,13120
5110000,13141
5120000,13134
5130000,11154
5140000,13219
5150000,13224
5160000,13275
5170000,13302
5180000,13304
5190000,13354
5200000,13365
5210000,13388
5220000,13425
5230000,13449
5240000,13483
5250000,13502
5260000,13515
5270000,13546
5280000,13565
5290000,13588
5300000,12947
5310000,13247
5320000,13308
5330000,13329
5340000,13322
5350000,13058
5360000,13363
5370000,12989
5380000,13184
5390000,13405
5400000,13440
5410000,13260
5420000,13506
5430000,13566
5440000,13307
5450000,13612
5460000,13649
5470000,13679
5480000,13669
5490000,13700
5500000,13754
5510000,13732
5520000,13830
5530000,13898
5540000,13917
5550000,13927
5560000,13964
5570000,14147
5580000,14381
5590000,14347
5600000,14423
5610000,14432
5620000,14471
5630000,14509
5640000,14462
5650000,14511
5660000,14566
5670000,14586
5680000,14583
5690000,14667
5700000,14673
5710000,14716
5720000,14721
5730000,14731
5740000,14781
5750000,14761
5760000,14841
5770000,14837
5780000,14837
5790000,14923
5800000,14948
5810000,14974
5820000,14969
5830000,15027
5840000,15051
5850000,15078
5860000,15100
5870000,15103
5880000,15162
5890000,15177
5900000,15213
5910000,15228
5920000,15262
5930000,15257
5940000,15292
5950000,15326
5960000,15343
5970000,15354
5980000,15388
5990000,15416
6000000,15468
6010000,15490
6020000,15487
6030000,15456
6040000,15497
6050000,15524
6060000,15514
6070000,15572
6080000,15603
6090000,15616
6100000,15647
6110000,15674
6120000,15709
6130000,15725
6140000,15709
6150000,15774
6160000,15805
6170000,15829
6180000,15829
6190000,15874
6200000,15903
6210000,15872
6220000,15937
6230000,15924
6240000,15980
6250000,16034
6260000,16065
6270000,16088
6280000,16117
6290000,16134
6300000,16128
6310000,16190
6320000,16167
6330000,15977
6340000,16057
6350000,15886
6360000,15940
6370000,16047
6380000,15988
6390000,16046
6400000,16006
6410000,16060
6420000,16075
6430000,16150
6440000,16181
6450000,16196
6460000,16429
6470000,16620
6480000,16653
6490000,16648
6500000,16676
6510000,16470
6520000,16216
6530000,16402
6540000,16423
6550000,16423
6560000,16487
6570000,16504
6580000,16507
6590000,16513
6600000,16982
6610000,17027
6620000,16993
6630000,17044
6640000,17113
6650000,17128
6660000,17164
6670000,17162
6680000,17204
6690000,17240
6700000,17269
6710000,17299
6720000,17283
6730000,17310
6740000,17374
6750000,17394
6760000,17400
6770000,17432
6780000,17445
6790000,17492
6800000,17489
6810000,17547
6820000,17497
6830000,17590
6840000,17633
6850000,17629
6860000,17663
6870000,17683
6880000,17727
6890000,17574
6900000,17760
6910000,17778
6920000,17829
6930000,17861
6940000,17886
6950000,17917
6960000,17903
6970000,17928
6980000,17980
6990000,18000
7000000,18011
7010000,17986
7020000,18054
7030000,18101
7040000,18107
7050000,18162
7060000,18131
7070000,18166
7080000,17808
7090000,17998
7100000,18275
7110000,18287
7120000,18308
7130000,18373
7140000,18405
7150000,18399
7160000,18402
7170000,18479
7180000,18504
7190000,18535
7200000,18556
7210000,18555
7220000,18270
7230000,18616
7240000,18663
7250000,18653
7260000,18681
7270000,18699
7280000,18762
7290000,18788
7300000,18771
7310000,18829
7320000,18873
7330000,18829
7340000,18918
7350000,18949
7360000,18969
7370000,18958
7380000,19013
7390000,18993
7400000,19074
7410000,19100
7420000,19130
7430000,19122
7440000,19180
7450000,19201
7460000,19167
7470000,19242
7480000,19252
7490000,19309
7500000,19267
7510000,19347
7520000,19364
7530000,19409
7540000,19352
7550000,19436
7560000,19435
7570000,19516
7580000,19538
7590000,19536
7600000,19561
7610000,19617
7620000,19649
7630000,19669
7640000,19692
7650000,19700
7660000,19704
7670000,19733
7680000,19772
7690000,19822
7700000,19847
7710000,19760
7720000,19899
7730000,19924
7740000,19958
7750000,19950
7760000,19859
7770000,19919
7780000,19963
7790000,19967
7800000,20012
7810000,20019
7820000,20047
7830000,20064
7840000,20096
7850000,20100
7860000,20153
7870000,20186
7880000,20204
7890000,20222
7900000,20271
7910000,20289
7920000,20321
7930000,20338
7940000,20357
7950000,20400
7960000,20392
7970000,20441
7980000,20477
7990000,20480
8000000,20499
8010000,20234
8020000,20569
8030000,20593
8040000,20608
8050000,20657
8060000,20670
8070000,20680
8080000,20712
8090000,20790
8100000,20797
8110000,20862
8120000,20889
8130000,20896
8140000,20892
8150000,18880
8160000,20952
8170000,21019
8180000,21043
8190000,21069
8200000,21063
8210000,21120
8220000,21126
8230000,21126
8240000,21180
8250000,21207
8260000,21193
8270000,21269
8280000,21295
8290000,21320
8300000,21303
8310000,21331
8320000,21387
8330000,21428
8340000,21434
8350000,21068
8360000,21454
8370000,21494
8380000,21498
8390000,21552
8400000,21602
8410000,21633
8420000,21617
8430000,21678
8440000,21578
8450000,21718
8460000,21751
8470000,21771
8480000,21786
8490000,21840
8500000,21863
8510000,21889
8520000,21918
8530000,21909
8540000,21945
8550000,21987
8560000,22010
8570000,22012
8580000,22060
8590000,22079
8600000,22127
8610000,22111
8620000,22126
8630000,22203
8640000,22188
8650000,22200
8660000,22244
8670000,22306
8680000,22322
8690000,22266
8700000,22383
8710000,22404
8720000,22084
8730000,22419
8740000,22442
8750000,22461
8760000,22500
8770000,22561
8780000,22535
8790000,22532
8800000,22631
8810000,22615
8820000,22683
8830000,22714
8840000,22728
8850000,22768
8860000,22770
8870000,22809
8880000,22838
8890000,22788
8900000,22832
8910000,22859
8920000,22948
8930000,22941
8940000,22990
8950000,23007
8960000,23026
8970000,23043
8980000,23101
8990000,23115
9000000,23156
9010000,23151
9020000,23183
9030000,23217
9040000,23217
9050000,23258
9060000,23310
9070000,23332
9080000,23362
9090000,23376
9100000,23380
9110000,23395
9120000,23461
9130000,23479
9140000,23463
9150000,23489
9160000,23499
9170000,23569
9180000,23591
9190000,23626
9200000,23670
9210000,23693
9220000,23672
9230000,23777
9240000,23760
9250000,23763
9260000,23827
9270000,23548
9280000,23862
9290000,23865
9300000,23954
9310000,23998
9320000,24001
9330000,23993
9340000,24074
9350000,24093
9360000,23798
9370000,23257
9380000,23352
9390000,23184
9400000,23514
9410000,23536
9420000,24003
9430000,24181
9440000,24174
9450000,24240
9460000,24243
9470000,24278
9480000,24262
9490000,24269
9500000,24476
9510000,24502
9520000,24455
9530000,24470
9540000,24556
9550000,24608
9560000,24587
9570000,24652
9580000,24663
9590000,24659
9600000,24684
9610000,24695
9620000,24720
9630000,24759
9640000,24769
9650000,24751
9660000,24853
9670000,24912
9680000,24851
9690000,24928
9700000,24993
9710000,24985
9720000,25022
9730000,22310
9740000,24294
9750000,21948
9760000,24276
9770000,23209
9780000,24382
9790000,23326
9800000,23558
9810000,24170
9820000,23578
9830000,24544
9840000,23614
9850000,24233
9860000,24240
9870000,23616
9880000,24660
9890000,24749
9900000,24122
9910000,24650
9920000,24465
9930000,24353
9940000,24724
9950000,24104
9960000,24774
9970000,24333
9980000,24912
9990000,24283
